#simulation: 0
%step	%pop	%debt	%gift	

859	1701	437	167
860	1701	437	155
861	1694	432	161
862	1697	435	171
863	1704	439	175
864	1697	450	170
865	1702	431	165
866	1708	438	168
867	1700	413	164
868	1698	398	165
869	1700	435	155
870	1702	424	157
871	1692	401	169
872	1683	405	163
873	1688	400	163
874	1690	401	174
875	1683	415	175
876	1681	388	179
877	1688	377	183
878	1691	404	172
879	1685	402	166
880	1674	403	168
881	1674	393	171
882	1673	386	167
883	1671	390	173
884	1678	395	158
885	1667	387	148
886	1662	384	163
887	1665	378	165
888	1677	364	144
889	1676	362	148
890	1678	365	143
891	1674	377	144
892	1672	354	136
893	1665	348	143
894	1665	357	124
895	1678	344	130
896	1680	342	135
897	1683	360	130
898	1667	368	139
899	1670	350	147
900	1664	365	147
901	1658	369	146
902	1655	343	157
903	1652	363	152
904	1661	386	158
905	1660	365	162
906	1667	390	171
907	1665	368	173
908	1671	390	162
909	1674	378	159
910	1668	378	156
911	1672	381	156
912	1669	369	143
913	1676	389	138
914	1678	390	139
915	1685	388	142
916	1693	385	125
917	1697	371	115
918	1702	376	122
919	1707	379	127
920	1719	389	128
921	1719	379	120
922	1721	395	114
923	1723	402	116
924	1716	397	118
925	1732	379	120
926	1734	394	129
927	1743	408	136
928	1752	373	128
929	1760	388	115
930	1754	380	109
931	1755	377	113
932	1742	355	115
933	1731	386	97
934	1731	377	98
935	1732	380	94
936	1733	373	95
937	1729	380	97
938	1735	367	89
939	1730	366	76
940	1726	382	79
941	1732	397	79
942	1734	388	81
943	1741	419	82
944	1731	400	75
945	1738	402	78
946	1747	399	78
947	1754	410	80
948	1755	401	81
949	1754	393	81
950	1756	377	82
951	1760	378	85
952	1749	398	75
953	1741	397	74
954	1734	380	75
955	1733	395	77
956	1735	379	79
957	1745	403	67
958	1747	410	69
959	1761	407	71
960	1761	407	75
961	1763	428	77
962	1761	391	63
963	1764	388	65
964	1753	397	55
965	1748	400	58
966	1745	393	60
967	1741	411	63
968	1739	390	67
969	1738	413	70
970	1734	424	58
971	1732	421	60
972	1727	415	62
973	1728	401	64
974	1728	388	68
975	1725	408	71
976	1725	409	76
977	1723	399	63
978	1717	404	45
979	1727	402	47
980	1731	416	50
981	1728	392	52
982	1728	414	55
983	1723	412	47
984	1727	421	49
985	1740	439	49
986	1739	410	50
987	1736	413	41
988	1742	407	40
989	1732	421	40
990	1733	399	43
991	1729	381	43
992	1735	406	44
993	1732	407	46
994	1728	394	47
995	1724	369	48
996	1723	409	48
997	1729	414	48
998	1726	405	50
999	1729	418	43
1000	1726	388	43
1001	1729	410	24
1002	1741	420	24
1003	1742	410	24
1004	1748	416	24
1005	1753	403	24
1006	1749	407	25
1007	1749	404	24
1008	1746	393	24
1009	1738	389	23
1010	1737	382	23
1011	1740	406	23
1012	1738	405	23
1013	1732	422	23
1014	1723	406	23
1015	1715	367	23
1016	1722	393	23
1017	1726	389	21
1018	1721	393	21
1019	1723	378	20
1020	1734	402	21
1021	1734	393	22
1022	1731	382	22
1023	1736	401	0
1024	1721	407	0
1025	1720	412	0
1026	1721	403	0
1027	1711	422	0
1028	1706	407	0
1029	1711	404	0
1030	1713	426	0
1031	1712	393	0
1032	1707	386	0
1033	1719	391	0
1034	1721	418	0
1035	1723	404	0
1036	1732	376	0
1037	1728	373	0
1038	1725	368	0
1039	1724	400	0
1040	1721	397	0
1041	1715	394	0
1042	1718	416	0
1043	1717	425	0
1044	1719	409	0
1045	1736	397	0
1046	1754	410	0
1047	1756	418	0
1048	1752	392	0
1049	1748	392	0
1050	1741	419	0
1051	1733	396	0
1052	1731	414	0
1053	1734	405	0
1054	1739	394	0
1055	1746	412	0
1056	1745	397	0
1057	1751	415	0
1058	1753	395	0
1059	1753	412	0
1060	1760	404	0
1061	1767	418	0
1062	1759	405	0
1063	1758	403	0
1064	1772	391	0
1065	1783	422	0
1066	1788	440	0
1067	1791	419	0
1068	1795	426	0
1069	1797	404	0
1070	1806	412	0
1071	1805	400	0
1072	1801	405	0
1073	1790	393	0
1074	1780	410	0
1075	1782	414	0
1076	1778	432	0
1077	1769	410	0
1078	1772	407	0
1079	1774	425	0
1080	1776	423	0
1081	1764	420	0
1082	1761	437	0
1083	1761	425	0
1084	1763	437	0
1085	1751	407	0
1086	1758	415	0
1087	1759	419	0
1088	1761	440	0
1089	1754	452	0
1090	1753	457	0
1091	1752	445	0
1092	1753	458	0
1093	1750	469	0
1094	1757	455	0
1095	1754	431	0
1096	1759	433	0
1097	1747	442	0
1098	1742	431	0
1099	1741	450	0
1100	1735	420	0
1101	1737	419	0
1102	1725	402	0
1103	1735	425	0
1104	1733	440	0
1105	1728	405	0
1106	1731	427	0
1107	1731	416	0
1108	1727	414	0
1109	1729	414	0
1110	1731	399	0
1111	1726	417	0
1112	1726	418	0
1113	1721	409	0
1114	1717	411	0
1115	1705	422	0
1116	1705	392	0
1117	1698	395	0
1118	1698	403	0
1119	1708	386	0
1120	1705	402	0
1121	1700	405	0
1122	1698	413	0
1123	1693	388	0
1124	1685	402	0
1125	1688	413	0
1126	1686	409	0
1127	1690	402	0
1128	1692	391	0
1129	1704	427	0
1130	1696	432	0
1131	1699	436	0
1132	1706	405	0
1133	1698	428	0
1134	1699	426	0
1135	1704	418	0
1136	1704	409	0
1137	1702	401	0
1138	1698	413	0
1139	1696	410	0
1140	1697	386	0
1141	1692	400	0
1142	1699	402	0
1143	1689	399	0
1144	1692	405	0
1145	1700	387	0
1146	1702	388	0
1147	1692	407	0
1148	1690	399	0
1149	1686	405	0
1150	1689	409	0
1151	1691	373	0
1152	1693	403	0
1153	1690	401	0
1154	1689	425	0
1155	1690	408	0
1156	1689	423	0
1157	1686	432	0
1158	1687	426	0
1159	1686	411	0
1160	1688	407	0
1161	1681	417	0
1162	1682	432	0
1163	1693	394	0
1164	1688	419	0
1165	1678	401	0
1166	1679	399	0
1167	1679	408	0
1168	1686	431	0
1169	1693	432	0
1170	1697	413	0
1171	1699	419	0
